,Time,Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production,Electric_demand
165,2019-01-01-T13:45,1,1,63.6,907.2,451,3.76,27.59,10.8,8324,1232,18715
166,2019-01-01-T13:50,1,1,70,860.2,432.6,3.78,27.59,10.8,8283,1185,18760
167,2019-01-01-T13:55,1,1,62.6,898,432.8,3.78,27.624,10.78,8229,1181,18784
168,2019-01-01-T14:00,1,1,76.2,808,404,3.76,27.624,10.78,8187,1202,18847
169,2019-01-01-T14:05,1,1,61.4,887.8,413.6,3.72,27.702,10.72,8145,1230,18874
170,2019-01-01-T14:10,1,1,60.8,882.2,403.2,3.68,27.922,10.6,8043,1202,18929
171,2019-01-01-T14:15,1,1,60,876.2,392.4,3.62,28.036,10.52,7958,1188,18984
172,2019-01-01-T14:20,1,1,59.4,867,380.8,3.58,28.224,10.42,7910,1180,19045
173,2019-01-01-T14:25,1,1,58.6,859.2,369.2,3.54,28.314,10.36,7854,1164,19127
174,2019-01-01-T14:30,1,1,58,852,357.4,3.46,28.502,10.26,7793,1132,19193
175,2019-01-01-T14:35,1,1,57.6,843,345.4,3.42,32.692,10.2,7695,1088,19277
176,2019-01-01-T14:40,1,1,57.4,815.8,328,3.38,32.908,10.1,7442,1070,19396
177,2019-01-01-T14:45,1,1,63.8,760,308.2,3.32,33.012,10.04,7253,1059,19486
178,2019-01-01-T14:50,1,1,54.8,817.2,308.6,3.3,33.286,9.92,7108,1021,19598
179,2019-01-01-T14:55,1,1,53.8,807.2,295.8,3.28,33.428,9.84,6928,986,19673
180,2019-01-01-T15:00,1,1,57.6,748,273.4,3.22,33.612,9.76,6785,942,19728
181,2019-01-01-T15:05,1,1,52,784.6,269.4,3.22,33.612,9.76,6612,879,19805
182,2019-01-01-T15:10,1,1,50.6,772.6,256,3.22,33.612,9.76,6410,811,19866
183,2019-01-01-T15:15,1,1,49.6,759.2,242,3.22,33.612,9.76,6126,790,19939
184,2019-01-01-T15:20,1,1,48,744.8,228.2,3.22,33.612,9.76,5725,795,20086
185,2019-01-01-T15:25,1,1,47,729.6,214.2,3.22,33.612,9.76,5291,789,20227
186,2019-01-01-T15:30,1,1,45.6,713,200,3.22,33.612,9.76,4944,756,20362
